Era 1
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.43
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.25
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.42
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.08
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.49
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.25
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.90
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.89
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.14
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.26
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -70.84
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.41
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.15
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -64.99
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.67
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.91
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.81
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -62.55
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.51
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.13
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.79
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.22
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.60
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.42
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.34
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.81
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.28
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -63.55
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.11
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -69.06
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.02
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -61.38
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.57
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.84
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.95
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.94
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.04
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -64.90
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.04
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.63
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -65.05
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.89
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.58
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -67.32
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.58
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.62
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.13
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.01
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.90
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.05
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.73
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.23
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.44
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -69.91
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.60
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -52.67
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.92
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.78
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.35
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.21
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.88
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.52
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.65
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.47
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.76
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.00
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.44
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.33
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.13
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.60
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -64.77
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.31
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.64




Era 9
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.69
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -62.03
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.27
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.16
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.56
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.28
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.99
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.24
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.91
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.84
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -107.96
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.24
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.53
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.86
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.81
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.44
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -52.20
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.48
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.84
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.87
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.31
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.18
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -70.81
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.29
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.22
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.42
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.06
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.61
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.29
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.42
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.78
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -64.99
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -76.10
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.60
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.25
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.88
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.10
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.71
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.78
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.85
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.31
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.75
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.62
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.66
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.83
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.13
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.74
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.63
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.94
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.35
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.89
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.24
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.54
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.89
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -60.07
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -175.77
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.73
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.74
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.75
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.27
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.41
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.88
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.79
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.46
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.02
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.11
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.13
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.14
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.45
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.41
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.11
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.35
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.52
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.35
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -64.30
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.00
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -351.15
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.15
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.11
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.59
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.03
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.73
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.54
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -63.09
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.94
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.86
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -60.19
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.18
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.71
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.69
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.79
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.58
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.53
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.36
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.75
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.49
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.87
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.45
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.11
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.89
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.69
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -62.03
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.27
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.16
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.56
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.28
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.99
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.24
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.91
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.84
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -107.96
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.24
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.53
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.86
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.81
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.44
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -52.20
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.48
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.84
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.87
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.31
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.18
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -70.81
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.29
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.22
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.42
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.06
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.61
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.29
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.42
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.78
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -64.99
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -76.10
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.60
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.25
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.88
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.10
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.71
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.78
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.85
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.31
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.75
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.62
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.66
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.83
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.13
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.74
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.63
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.94
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.35
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.89
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.24
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.54
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.89
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -60.07
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -175.77
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.73
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.74
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.75
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.27
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.41
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.88
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.79
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.46
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.02
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.11
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.13
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.14
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.45
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.41
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.11
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.35
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.52
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.35
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -64.30
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.00
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -351.15
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.15
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.11
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.59
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.03
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.73
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.54
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -63.09
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.94
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.86
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -60.19
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.18
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.71
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.69
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.79
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.58
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.53
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.36
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.75
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.49
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.87
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.45
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.11
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.89




Era 10
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.98
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.86
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -64.07
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.19
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.47
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -61.45
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -71.34
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.47
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -69.62
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.46
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.07
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.91
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.05
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -63.61
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -143.04
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -72.01
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.79
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.36
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -99.02
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.51
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.76
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -65.85
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -67.68
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.44
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.24
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -66.49
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -63.05
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.09
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -61.97
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -133.52
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -85.40
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.61
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.10
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -66.98
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.99
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -101.27
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.33
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -99.02
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -62.51
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.46
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.67
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -100.69
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.53
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.57
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.04
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.65
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -72.31
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -130.37
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.53
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.77
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.10
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -66.64
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.72
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.70
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -64.75
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -62.93
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.21
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.68
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -133.11
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.74
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.03
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -72.70
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.57
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.54
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.24
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.79
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.23
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.10
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -76.86
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.93
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -63.25
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -67.39
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -67.21
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -63.35
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.22
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.77
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -66.31
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -68.13
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -69.87
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.43
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -73.79
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.67
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.81
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.75
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -63.96
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -65.84
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.75
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.81
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -74.94
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -64.14
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.86
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.52
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -60.80
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.86
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.24
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.38
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -68.48
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.72
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -52.56
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -61.65
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.98
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.86
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -64.07
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.19
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.47
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -61.45
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -71.34
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.47
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -69.62
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.46
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.07
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.91
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.05
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -63.61
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -143.04
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -72.01
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.79
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.36
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -99.02
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.51
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.76
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -65.85
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -67.68
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.44
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.24
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -66.49
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -63.05
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.09
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -61.97
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -133.52
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -85.40
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.61
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.10
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -66.98
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.99
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -101.27
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.33
